measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,128,Occupational asthmagens,3,Rate,2019,14.95004597362097,16.83847373334881,13.25810385456417
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,129,"Occupational particulate matter, gases, and fumes",3,Rate,2019,8.28484732278198,9.8649729474993,6.982070661145939
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,130,Occupational noise,3,Rate,2019,10.47235559157225,11.06988140186472,10.04047182719102
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,132,Occupational ergonomic factors,3,Rate,2019,9.09720128635569,10.73274443087968,7.74605240586116
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,134,Childhood sexual abuse,3,Rate,2019,5.35067676753073,6.544397202675779,4.3976576326155
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,135,Intimate partner violence,3,Rate,2019,17.883715201146767,24.119425420019898,10.47255083703322
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,136,Non-exclusive breastfeeding,3,Rate,2019,54.99726679661735,76.13568978214029,38.859949647045525
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,137,Discontinued breastfeeding,3,Rate,2019,59.52596822499277,63.305625203119234,56.033412310939966
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,147,Diet low in calcium,3,Rate,2019,10.85417626896489,16.21329882836997,9.37388269718827
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,150,Occupational exposure to asbestos,3,Rate,2019,0.9625197360009601,1.33667316492795,0.62664564062697
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,151,Occupational exposure to arsenic,3,Rate,2019,0.44864513946387996,0.77306769716937,0.17528904698536
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,152,Occupational exposure to benzene,3,Rate,2019,1.2073575516914399,2.2648714617448,0.73201722919942
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,153,Occupational exposure to beryllium,3,Rate,2019,0.12125629639768,0.12425516916111999,0.11850393672587999
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,154,Occupational exposure to cadmium,3,Rate,2019,0.2442513212473,0.25805914337972,0.23130742733639997
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,155,Occupational exposure to chromium,3,Rate,2019,0.60332128859974,0.6321967337630501,0.5738909358001799
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,156,Occupational exposure to diesel engine exhaust,3,Rate,2019,3.84651193566923,4.01365706835712,3.69460774555703
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,158,Occupational exposure to formaldehyde,3,Rate,2019,1.1442439273401601,1.21359655946184,1.07606541440656
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,159,Occupational exposure to nickel,3,Rate,2019,0.47846058288694,1.13688978905073,0.15579488134038
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,160,Occupational exposure to polycyclic aromatic hydrocarbons,3,Rate,2019,1.2675018122992199,1.32297171227433,1.21487203644189
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,161,Occupational exposure to silica,3,Rate,2019,5.0575824143610495,11.298576622728811,2.6774308976469
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,162,Occupational exposure to sulfuric acid,3,Rate,2019,1.0746199401508698,1.9437452172106202,0.76650690367366
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,237,Occupational exposure to trichloroethylene,3,Rate,2019,0.36713900117858,0.38202793414031,0.35372936608117
29,Summary exposure value,119,Trinidad and Tobago,3,Both,27,Age-standardized,238,No access to handwashing facility,3,Rate,2019,13.5422625511191,21.25574286126547,5.31649967581877
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,333,Diet low in legumes,3,Rate,2019,51.734563741559484,62.657850952272774,0.0
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,334,Short gestation for birth weight,3,Rate,2019,24.9500086140806,28.530320399959454,22.24703149359084
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,335,Low birth weight for gestation,3,Rate,2019,15.74257596351553,17.28736072250959,14.23544759194891
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,337,High temperature,3,Rate,2019,11.67447759932643,22.58891487984754,5.2010628937071
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,338,Low temperature,3,Rate,2019,11.86571178824687,17.4477050419204,8.67337811406842
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,341,Impaired kidney function,3,Rate,2019,2.18364597926319,2.87216701105628,1.7582349426664101
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,363,Bullying victimization,3,Rate,2019,7.7368505711028295,14.271661537369889,3.59622771257518
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,367,High LDL cholesterol,3,Rate,2019,48.11992086138089,66.84597872904882,32.77998932872774
29,Summary exposure value,122,Ecuador,3,Both,27,Age-standardized,380,Particulate matter pollution,3,Rate,2019,18.82104566572615,27.56340464409156,11.75076661937467
