"location_id","location_name","cause_id","cause_name","avg_prevalence_rate","avg_death_rate","avg_DALY_rate"
6,"China",344,"Neglected tropical diseases and malaria",8798.247623,0.198328943724934,90.8135826866738
6,"China",386,"Nutritional deficiencies",11977.78885,1.31315653795945,186.294027547349
6,"China",410,"Neoplasms",1711.008381,145.460262508722,3683.31464090725
6,"China",491,"Cardiovascular diseases",6514.735899,315.401482350249,5749.78535235317
6,"China",508,"Chronic respiratory diseases",4561.870239,90.8675608971236,1609.89214797601
6,"China",526,"Digestive diseases",26464.18495,17.7439433065898,627.513737589186
6,"China",542,"Neurological disorders",27865.82804,36.3649177512095,1266.22102069938
6,"China",558,"Mental disorders",11015.94528,0.00179561909150386,1395.97995595657
6,"China",626,"Musculoskeletal disorders",17154.85205,1.15472273632041,1565.91631827242
6,"China",640,"Other non-communicable diseases",64699.66505,8.17561423601321,1328.61407256687
6,"China",653,"Skin and subcutaneous diseases",24418.02343,0.440755757868891,539.438040215214
6,"China",688,"Transport injuries",2378.251899,18.9157345633354,1041.6219453106
6,"China",696,"Unintentional injuries",7739.737751,23.4950910786294,1285.36266913272
6,"China",717,"Self-harm and interpersonal violence",6167.066988,9.04485852117956,424.259954216438
6,"China",955,"HIV/AIDS and sexually transmitted infections",12749.48286,1.6865281182154,102.986734917482
6,"China",956,"Respiratory infections and tuberculosis",31708.56354,20.1037704307909,661.767114598332
6,"China",957,"Enteric infections",103.23165973,0.640885548377541,47.7585705906504
6,"China",961,"Other infectious diseases",903.2353752,1.81343603638805,139.351441733154
6,"China",962,"Maternal and neonatal disorders",1067.215393,8.58050764243317,926.640017886051
6,"China",973,"Substance use disorders",1658.23849,1.70988203239395,267.067377903757
6,"China",974,"Diabetes and kidney diseases",10896.64878,21.4834532744792,889.656589884584
7,"Democratic People's Republic of Korea",344,"Neglected tropical diseases and malaria",8164.009023,0.194770887600694,41.9708677942628
7,"Democratic People's Republic of Korea",386,"Nutritional deficiencies",18308.93235,2.23549809177144,316.374155592582
7,"Democratic People's Republic of Korea",410,"Neoplasms",1400.688613,123.611808822219,3553.19006936558
7,"Democratic People's Republic of Korea",491,"Cardiovascular diseases",6427.262509,392.198486389749,8409.2093975721
7,"Democratic People's Republic of Korea",508,"Chronic respiratory diseases",6838.834871,131.093742633531,2573.10272093024
7,"Democratic People's Republic of Korea",526,"Digestive diseases",28476.19013,29.3223991713776,974.0124001014
7,"Democratic People's Republic of Korea",542,"Neurological disorders",27541.25005,31.0142082390648,1177.12731199675
7,"Democratic People's Republic of Korea",558,"Mental disorders",11025.63366,0.000694131043043252,1403.33106265739
7,"Democratic People's Republic of Korea",626,"Musculoskeletal disorders",17953.15928,1.62838423966486,1746.21028458253
7,"Democratic People's Republic of Korea",640,"Other non-communicable diseases",59580.15446,11.5519690469173,1613.57765189512
7,"Democratic People's Republic of Korea",653,"Skin and subcutaneous diseases",22606.19938,0.531876860112633,519.371195471984
7,"Democratic People's Republic of Korea",688,"Transport injuries",2840.129736,28.3841874637116,1583.36615061945
7,"Democratic People's Republic of Korea",696,"Unintentional injuries",4348.320261,23.666746176701,1267.8826009129
7,"Democratic People's Republic of Korea",717,"Self-harm and interpersonal violence",6503.962515,12.1347017987143,636.103278904235
7,"Democratic People's Republic of Korea",955,"HIV/AIDS and sexually transmitted infections",13858.42036,1.65874162495362,117.355368856745
7,"Democratic People's Republic of Korea",956,"Respiratory infections and tuberculosis",39677.94175,75.4492680839619,2440.47615809386
7,"Democratic People's Republic of Korea",957,"Enteric infections",1067.738157,0.610082821761763,155.4271700149
7,"Democratic People's Republic of Korea",961,"Other infectious diseases",1422.863683,3.15605449768564,242.924794512208
7,"Democratic People's Republic of Korea",962,"Maternal and neonatal disorders",1201.190048,14.228788335355,1449.34134592676
7,"Democratic People's Republic of Korea",973,"Substance use disorders",1296.892378,1.5884943491043,228.749390918367
7,"Democratic People's Republic of Korea",974,"Diabetes and kidney diseases",10221.866329,30.9011631412751,1235.89757734394
8,"Taiwan (Province of China)",344,"Neglected tropical diseases and malaria",6420.352876,0.116445261679798,23.6595887502072
8,"Taiwan (Province of China)",386,"Nutritional deficiencies",8192.940083,0.549741914726079,123.555285063805
8,"Taiwan (Province of China)",410,"Neoplasms",2530.312018,146.922960848593,3736.77630259496
8,"Taiwan (Province of China)",491,"Cardiovascular diseases",6478.302878,102.406145374215,2373.77251384381
8,"Taiwan (Province of China)",508,"Chronic respiratory diseases",6249.133593,23.4220767151209,656.682019709514
8,"Taiwan (Province of China)",526,"Digestive diseases",28737.16578,29.0400131264848,999.279192378319
8,"Taiwan (Province of China)",542,"Neurological disorders",28554.73141,25.0914229500863,1149.62645600991
8,"Taiwan (Province of China)",558,"Mental disorders",10348.15123,0.000232393941241304,1444.31517639867
8,"Taiwan (Province of China)",626,"Musculoskeletal disorders",20436.23066,1.49951980926933,2000.08229315778
8,"Taiwan (Province of China)",640,"Other non-communicable diseases",59256.18167,14.7976027864353,1367.29777064267
8,"Taiwan (Province of China)",653,"Skin and subcutaneous diseases",26313.47783,2.6426487133703,622.692802277573
8,"Taiwan (Province of China)",688,"Transport injuries",1508.201766,13.1675927506245,655.404420560453
8,"Taiwan (Province of China)",696,"Unintentional injuries",5508.225671,12.9506971386382,677.900367988898
